Language Name,Iso Code,Resource Level,BCP-47 Code,Overlaps
French,fra,4,fr,"Germany,Netherlands,Canada,United States of America,French Polynesia,Seychelles,France,Italy,Vanuatu,Democratic Republic of th,Chad,Lebanon,Syria,Brazil,Sierra Leone,Guinea,Central African Republic,Sudan,Djibouti,Zambia,Austria,Liechtenstein,Nigeria,Benin,Dominican Republic,Haiti,Andorra,Rwanda,Uganda,Belgium,Switzerland,Tanzania,Burundi,Ethiopia,South Sudan,Gabon,Ghana,Côte d'Ivoire,Spain,Algeria,Mauritania,Senegal,Guinea-Bissau,Cameroon,Equatorial Guinea,Gambia,Togo,Burkina Faso,Congo (Republic of the Co,Mauritius,Madagascar,Eritrea,Libya,Liberia,Morocco,Tunisia,Angola,New Caledonia,Saint Pierre and Miquelon,Saint Barthélemy,Comoros,Wallis and Futuna Islands,Israel,Saint Martin,Sint Maarten,Luxembourg,Mali,Monaco,Suriname,Niger,Western Sahara"
Ladakhi,lbj,1,lbj,"China,India,Pakistan"
Sango,sag,2,sg,"Democratic Republic of th,Chad,Central African Republic,Sudan,South Sudan,Cameroon,Congo (Republic of the Co"
Arabic (MSA),arb,4,ar,"Bahrain,Egypt,Chad,Oman,Lebanon,Syria,United Arab Emirates,Central African Republic,Sudan,Djibouti,Nigeria,Kuwait,Iraq,Iran,Ethiopia,South Sudan,Spain,Jordan,Yemen,Algeria,Mauritania,Senegal,Somalia,Kenya,Cameroon,Qatar,Turkey,Eritrea,Libya,Morocco,Tunisia,Saudi Arabia,Comoros,Israel,Palestine,Mali,Niger,Western Sahara"
"Arabic, Moroccan",ary,2,ary,"Spain,Algeria,Mauritania,Morocco,Western Sahara"
Maithili,mai,2,mai,"India,Bangladesh,Nepal"
"Chinese, Xiang",hsn,2,hsn,China
"Arabic, Sudanese",apd,2,apd,"Chad,Sudan,South Sudan,Eritrea"
Bhojpuri,bho,2,bho,"India,Bangladesh,Nepal"
"Arabic, Chadian",shu,2,shu,"Chad,Central African Republic,Sudan,Nigeria,Cameroon,Libya,Niger"
