fid,iso,language,ResourceLevel
0,bel,Belarussian,0
1,run,Kirundi,0
2,sag,Sangho,2
4,hin,Hindi,4
5,afr,Afrikaans,2
7,ben,"Bengali, Bangla",3
8,arz,"Arabic, Egyption Spoken",2
9,pes,Persian (Farsi),3
10,deu,German,2
12,ind,Indonesian,4
13,apc,"Arabic, Norther Levantine Spoken",2
14,lin,Lingala,3
15,swa,Swahili,4
16,arq,"Arabic, Algerian Spoken",1
17,bul,Bulgarian,0
18,shu,"Arabic, Chadian",2
19,prs,Dari,2
20,dzo,Dzongkha,1
21,khm,Khmer,3
23,pnb,Punjabi Western,2
24,ful,Fulah,1
25,als,Albanian Tosk,1
30,ary,"Arabic, Moroccan Spoken",2
32,pus,Pashto,1
33,hye,Armenian,1
34,hbs,Serbo-Croatian,2
35,tsn,Tswana (Setswana),2
36,mos,Mppre,1
38,bya,Batak (inc),1
39,bej,Bedawiyet,1
40,bem,Bemba,1
41,cat,Catalan,0
42,din,Dinka,1
44,tem,Themne,1
45,zul,Zulu,1
47,nde,Northern Ndebele,1
48,hak,"Chinese, Hakka",1
50,wuu,"Chinese, Wu",1
51,hsn,"Chinese, Xiang",1
52,nan,"Chinese, Min Nan",1
53,gan,"Chinese, Gan",1
54,ces,Czech,0
55,aln,Gheg Albanian,0
56,kri,Krio,1
57,kur,Kurdish,2
58,lug,Luganda,2
60,sin,Sinhalese,2
62,swe,Swedesh,0
65,aka,Akan,2
66,amh,Amharic,3
67,nya,Chichewa,2
68,kir,Kyrgyz,1
70,nep,Nepali,3
71,pol,Polish,0
72,tha,Thai,3
73,wol,Wolof,2
74,bis,Bislama,1
75,ceb,Cebuano,1
76,dgo,Dogri,1
77,fij,Fijian,0
78,fon,Fon,2
79,ilo,Ilocano,1
80,kng,Koongo,2
82,kpe,Kpelle,1
83,luo,Dholuo,1
84,mak,Makasar,1
85,mal,Malayalam,2
86,mni,Meitei,1
87,men,Mende,1
88,sba,Ngambay,
89,kua,"Kwanyama,",1
90,pmy,"Malay, Papuan",1
91,que,Quechua,1
92,scn,Sicilian,0
93,snd,Sindhi,2
94,sun,Sundanese,1
95,lua,Luba-Kasai,2
96,umb,Umbundu,1
98,grn,Guarani,1
99,bal,Balochi,1
100,cjy,"Chinese, Jinyu",1
101,kan,Kannada,3
102,hrv,Croatian,0
103,dan,Danish,0
104,fin,Finnish,0
105,kat,Georgian,1
106,ell,Greek (modern),0
107,hun,Hungarian,2
108,isl,Icelandic,0
109,acm,"Arabic, Mesopotamian Spoken",2
110,gle,Irish,0
111,kaz,Kazakh,1
112,lav,Latvian,0
113,lit,Lithuanian,0
114,mkd,Macedonian,0
115,bam,Bambara,2
116,mey,Hassaniyya,1
117,mon,Mongolian,2
118,mya,Burmese,3
119,nor,Norwegian,0
120,ron,Romanian,2
121,cnr,Montenegran,0
122,slk,Slovak,0
123,slv,Slovene,0
124,som,Somali,1
125,kor,Korean,1
126,ssw,Swazi,1
127,tgk,Tajik,1
128,aeb,"Arabic, Tunisian Spoken",1
129,tuk,Turkmen,1
130,ukr,Ukrainian,0
131,uzb,Uzbek,2
132,vie,Vietnamese,3
133,ayn,"Arabic, Sanaani Spoken",1
134,bod,"Tibetan Standard, Tibetan, Central",1
135,uig,Uyghur,1
136,fan,Fang,1
137,aar,Afar,1
138,orm,Oromo,2
139,ewe,Ewe,2
140,mar,Marathi,2
141,kas,Kashmiri,1
142,asm,Assamese,3
143,guj,Gujarati,2
144,ory,Oriya,2
145,tel,Telugu,3
146,abs,"Malay, Ambonese",1
147,ban,Balinese,0
148,bjn,Banjar,1
149,jav,Javanese,1
150,mad,Madura,1
151,min,Minangkabau,0
154,ttq,Tamajaq,1
155,naq,Nama,1
156,dje,Zarma,1
158,kau,Kanuri,1
159,yor,Yoruba,2
161,zdj,"Comorian, Ngazidja comb",0
162,xho,Xhosa comb,1
166,jpn,Japanese,0
168,est,Estonian,0
169,bug,Bugis,1
170,yue,"Chinese, Yue",1
171,kin,Kinyarwanda,0
172,lao,Laotian,3
173,mlg,Malagasy,2
175,tpi,Tok Pisin,3
176,tir,Tigrinya,1
179,cmn,Chinese Mandarin (Peripheral),4
184,spa,Spanish,4
185,por,Portuguese,4
186,aze,Azerbaijani (inc),2
200,pcm,Nigerian Pidgin ,2
201,pan,Punjabi Eastern,0
203,tur,Turkish,3
204,srp,Serbian,0
205,ayl,"Arabic, Libyan Spoken",1
206,urd,Urdu,3
207,ars,"Arabic, Najdi Spoken",0
208,sot,Northern,1
209,apd,"Arabic, Sudanese Spoken",2
210,bho,Bhojpuri,2
211,mai,Maithli,2
212,ibo,Igbo,1
213,hil,Hilganyon,0
214,emk,Maninkakan Eastern,1
215,mnk,Mandinka,1
216,tso,Tsonga,1
217,sna,Shona,2
218,tam,Tamil,3
219,msa,Malay,3
221,nld,Dutch,2
222,acq,"Arabic, Ta’izzi-Adeni Spoken",1
224,ace,Acehnese,1
225,acw,Hijazi Arabic,0
226,afb,Gulf Arabic,1
227,ajp,South Levantine Arabic,2
228,arb,Modern Standard Arabic,4
230,aym,Aymara (inc),1
231,brh,Brahui,1
232,cjk,Chokwe,1
233,div,Dhivehi,1
235,fuc,Fulfulde (Pulaar),1
236,fuv,Fulfulde (Nigerian),1
237,fuf,Fulfulde (Pular),1
238,fvr,Fur,1
239,hau,Hausa,3
240,bos,Bosnian,0
241,ibj,Ladakhi,1
242,ita,Italian,2
243,ber,Berber,1
244,kbp,Kabiye,1
245,kik,Kikuyu,1
246,nag,Nagamese,1
247,pis,Solomon Islands Pidgin,1
248,raj,Rajasthani,1
249,scl,Shina,1
250,skr,Saraiki,1
251,snk,Soninke,1
252,sus,Susu,1
253,tgl,Tagalog,3
254,vmk,Makhuwa,1
255,wti,Berta,1
256,zha,Zhuang,1
261,pga,"Arabic, Juba ",1
263,fra,French,4
266,ses,"Songhay, Koyraboro Senni",0
269,eng,English,4
270,rus,Russia,4
273,tet,Tetun,0
